MJD,RV_km_s,sigma_km_s
62624.6059571722,183.2393058031685,3.0
62635.382349474225,236.81097155998242,3.0
62641.75928925489,269.28631101193787,3.0
62644.228807662905,278.25086592565026,3.0
62647.70986496354,302.4973708890255,3.0
62667.94424224723,435.50649207495945,3.0
62687.657876844416,619.0857819338063,3.0
62698.121166356104,746.1854756291442,3.0
62699.288513175095,758.343055390741,3.0
62705.22344222152,850.3556151126337,3.0
62722.134518731735,1185.4375134062018,3.0
62750.84482497167,2269.973172210533,3.0
62763.92172273937,3179.9937081935473,3.0
62776.22305892748,4192.854624614235,3.0
62777.69262366994,4304.534001302272,3.0
62777.87009806543,4318.302257879579,3.0
62804.45731878208,4159.685995796116,3.0
62804.48808027836,4154.910435541284,3.0
62806.8259398024,4022.526875593535,3.0
62810.083679101575,3841.8596644745367,3.0
62822.59964887584,3210.032149318845,3.0
62823.42488287159,3170.60559106083,3.0
62835.68076719162,2696.228166823628,3.0
62837.20837513869,2646.9810987794185,3.0
62837.45191604671,2635.6655673913533,3.0
62845.04049904343,2414.1730455460374,3.0
62865.25130575444,1961.9853009105175,3.0
62868.173612349354,1914.0149769736493,3.0
62877.81731644801,1757.4786304597235,3.0
62909.461286929516,1390.7928631855673,3.0
62928.51048208372,1228.511304160653,3.0
62934.74565939943,1185.722883859902,3.0
62935.53887138635,1172.6307674721604,3.0
62936.28171317553,1179.2027914931084,3.0
62958.1347532064,1039.0326533828984,3.0
62991.006762640114,886.2703849711314,3.0
62992.36316624342,883.3989976905432,3.0
63024.3194382841,763.9966639589577,3.0
63062.51749489315,647.740506400602,3.0
63090.55638613107,590.3608719486907,3.0
63145.375326881825,483.08276273931665,3.0
63177.29691018029,433.73834751062,3.0
63187.03532110477,419.91818035610083,3.0
63215.402132767675,380.12762192622637,3.0
63698.55247694107,46.50796730258696,3.0
63888.62683357211,-15.01822853325946,3.0
64109.44563126961,-83.41981712836463,3.0
64393.907063307954,-129.2081927062758,3.0
64557.28032068738,-158.21159220991848,3.0
64723.62683020659,-184.7374787873786,3.0
64750.902526945196,-182.5156666013673,3.0
64865.541727957716,-198.90169998297765,3.0
